Test Year: 2014
Total: 985, Correct: 3, ExpRate: 0.30%
----------------------------------------
Image	Status	Prediction	GroundTruth
RIT_2014_29	WRONG	7	- 7
513_em_320	WRONG	p _ { 0 }	k N
20_em_42	WRONG	H	1 7
507_em_75	WRONG	[ o ]	[ b ]
501_em_3	WRONG	f ^ { 2 }	k _ { e }
20_em_30	WRONG	f ^ { f }	I _ { S }
502_em_0	WRONG	6 . 3	6 3
RIT_2014_97	WRONG	R	1 2
508_em_85	CORRECT	9 . 8	9 . 8
509_em_93	WRONG	( S )	| S |
RIT_2014_45	WRONG	( 1 )	| A |
29_em_159	WRONG	1 0	1 8
513_em_313	WRONG	b ^ { 1 }	P _ { 1 }
RIT_2014_20	WRONG	[ G ]	[ e ]
RIT_2014_57	WRONG	x _ { 1 }	1 9
519_em_445	WRONG	p _ { n }	N s
513_em_306	WRONG	p ^ { p }	R _ { f }
RIT_2014_249	WRONG	1 + 1	N - 1
20_em_49	WRONG	6 . 6	6 f t
34_em_229	WRONG	t _ { t }	1 / t
18_em_10	WRONG	x _ { 0 }	2 6
27_em_112	WRONG	b ^ { 3 }	M _ { 3 }
RIT_2014_95	CORRECT	2 0	2 0
RIT_2014_176	WRONG	6 . 2	1 8 z
27_em_120	WRONG	\sqrt { p }	\sqrt { 1 5 }
32_em_211	WRONG	( a ) ^ { 2 }	H _ { c l }
511_em_265	WRONG	\alpha ^ { 2 }	b _ { R }
RIT_2014_139	WRONG	u _ { 1 }	M _ { 1 }
516_em_386	WRONG	x ^ { 2 } ( x )	\{ a \}
26_em_78	WRONG	( 0 , 0 )	1 6 9
RIT_2014_272	WRONG	0 . 0	4 0
RIT_2014_13	WRONG	[ 3 ]	[ P ]
512_em_296	WRONG	y ^ { y }	k g
511_em_257	WRONG	2 ^ { 2 }	H z
514_em_336	WRONG	d _ { p }	d s
512_em_278	WRONG	\sqrt { 5 }	\sqrt { 7 5 }
32_em_208	WRONG	b ^ { 2 }	b _ { u }
RIT_2014_233	WRONG	t _ { 1 }	A ^ { T }
RIT_2014_284	WRONG	2 . 9	- 3 9
32_em_217	WRONG	\sqrt { H }	\sqrt { - 1 }
517_em_404	WRONG	\alpha _ { k }	P a
RIT_2014_260	WRONG	2 ^ { 2 } = 0	\beta \neq 0
