Test Year: 2016
Total: 1147, Correct: 229, ExpRate: 19.97%
----------------------------------------
Image	Status	Prediction	GroundTruth
UN_123_em_496	CORRECT	\{ h \}	\{ h \}
UN_454_em_695	CORRECT	3 . 8	3 . 8
UN_116_em_331	CORRECT	\{ a \}	\{ a \}
UN_465_em_965	CORRECT	F . G	F . G
UN_125_em_558	WRONG	\beta _ { 1 0 }	\int L _ { 0 }
UN_454_em_693	CORRECT	\int \sqrt { g }	\int \sqrt { g }
UN_109_em_222	CORRECT	B . 1	B . 1
UN_451_em_617	WRONG	N . M	N . n
UN_108_em_199	WRONG	T \sqrt { 3 }	+ \sqrt { 3 }
UN_103_em_72	WRONG	c ^ { 2 }	C ^ { 2 }
UN_102_em_49	WRONG	s ^ { 3 }	S ^ { 3 }
UN_465_em_969	WRONG	7 X 7	7 { \times } 7
UN_131_em_1083	WRONG	[ e )	[ e ]
UN_451_em_612	WRONG	\pi _ { o }	T _ { 0 }
UN_463_em_917	WRONG	\int \sqrt { v }	\int \sqrt { V }
UN_459_em_812	CORRECT	\int d y	\int d y
UN_458_em_776	WRONG	F _ { c }	T _ { c }
UN_119_em_414	WRONG	\lim _ { 3 }	M _ { 3 }
UN_456_em_741	CORRECT	- 9 9 9	- 9 9 9
UN_133_em_1133	WRONG	A . H	A . A
UN_452_em_639	CORRECT	T ^ { n }	T ^ { n }
UN_457_em_758	CORRECT	\sqrt { - g }	\sqrt { - g }
UN_451_em_621	CORRECT	V _ { p }	V _ { p }
UN_456_em_738	WRONG	g + 8	8 + 8
UN_109_em_211	CORRECT	w _ { 3 }	w _ { 3 }
UN_129_em_1045	WRONG	V . c	V . C
UN_130_em_1073	WRONG	\beta _ { m }	P _ { m }
UN_133_em_1128	CORRECT	3 . 1 . 3	3 . 1 . 3
UN_130_em_1050	CORRECT	\sqrt { - h }	\sqrt { - h }
UN_128_em_1013	CORRECT	- 9 \sqrt { 7 }	- 9 \sqrt { 7 }
UN_122_em_479	WRONG	s ^ { n }	S ^ { m }
UN_453_em_665	WRONG	\frac { 5 } { g }	\frac { 5 } { 8 }
UN_131_em_1080	WRONG	1 9 g	- 9 9
UN_460_em_847	WRONG	9 x 9	9 \times 9
UN_458_em_784	CORRECT	9 + 9	9 + 9
UN_451_em_610	CORRECT	M _ { 5 }	M _ { 5 }
