Test Year: 2019
Total: 1199, Correct: 0, ExpRate: 0.00%
----------------------------------------
Image	Status	Prediction	GroundTruth
UN19wb_1109_em_1008	WRONG	s ^ { 3 }	s s
UN19_1008_em_112	WRONG	v _ { v }	T r
ISICal19_1203_em_794	WRONG	\sqrt { 3 }	6 \sqrt { 3 }
UN19_1001_em_0	WRONG	i _ { 1 }	A _ { i }
UN19_1002_em_16	WRONG	3 . 3	3 9
ISICal19_1203_em_793	WRONG	u _ { 0 } = 0	A _ { o o }
UN19wb_1109_em_1016	WRONG	2 + 1	n + n
ISICal19_1210_em_874	WRONG	x = r \cos \theta	x + a
UN19_1022_em_300	WRONG	\frac { 1 } { 2 }	\frac { 1 } { a }
UN19wb_1121_em_1190	WRONG	u _ { 1 } = 1	n \geq 9
ISICal19_1210_em_879	WRONG	X ^ { 2 } - 1	| x y |
UN19_1046_em_674	WRONG	( x ) ^ { 3 }	E x p
UN19wb_1109_em_1017	WRONG	x _ { 2 }	8 \times 7
UN19_1001_em_6	WRONG	\sum _ { n } ^ { 2 }	\sum m ^ { 2 }
UN19wb_1121_em_1196	WRONG	8 . 8	8 \times 8
UN19_1008_em_113	WRONG	( x ) ^ { 2 }	X - X
UN19wb_1107_em_983	WRONG	V _ { V }	B _ { i }
UN19wb_1121_em_1195	WRONG	( 1 2 - x ) ^ { 3 }	\beta R R
UN19_1008_em_111	WRONG	p _ { p }	p \times p
UN19_1025_em_350	WRONG	2 ^ { 2 } = 2	x y z
UN19_1045_em_658	WRONG	1 + 1	I I
UN19wb_1110_em_1023	WRONG	r = r \cos \theta	- x - a
UN19wb_1121_em_1194	WRONG	\frac { \pi r ^ { 2 } { 3 + 1 }	\frac { 1 4 9 } { 8 4 }
UN19_1046_em_670	WRONG	2 ^ { 2 } = 0	x \geq 0
UN19wb_1110_em_1030	WRONG	a _ { 0 } = 0	\cos o \sigma
UN19wb_1116_em_1112	WRONG	f ^ { x } ^ { 2 }	\int R ^ { n }
ISICal19_1201_em_754	WRONG	\sqrt { 2 }	\sqrt { x ^ { 2 } }
UN19wb_1111_em_1047	WRONG	\frac { 3 } { 3 }	\frac { 9 5 } { 3 3 }
UN19_1023_em_322	WRONG	a _ { 2 }	a + c
ISICal19_1210_em_876	WRONG	a ^ { 2 } + b ^ { 2 } = c ^ { 2 }	\cos k _ { n } x ^ { 5 }
UN19_1001_em_2	WRONG	x ^ { 2 } - 2 ^ { 3 }	x ^ { b } - y ^ { b }
UN19wb_1111_em_1043	WRONG	\int \sqrt { f }	\int d c
UN19_1019_em_256	WRONG	a _ { i } , i _ { i }	a n y
UN19_1001_em_3	WRONG	\frac { 1 } { 2 } \pi r ^ { 2 }	\frac { n } { 2 } + \frac { 1 } { 2 }
UN19wb_1106_em_971	WRONG	\frac { 1 } { x _ { 4 } } } }	\frac { 1 } { n ! }
UN19_1028_em_396	WRONG	k _ { 2 }	I R
ISICal19_1210_em_881	WRONG	a = \sqrt { \sqrt { c ^ { 2 } } }	a = \sqrt { \frac { \beta } { \alpha } }
ISICal19_1205_em_812	WRONG	a _ { n } = a _ { n }	\cos n \sigma
UN19_1022_em_307	WRONG	\alpha _ { n }	{ 2 } m
UN19wb_1109_em_1006	WRONG	\frac { 1 } { 2 } \pi r ^ { 2 }	z = \frac { y } { x }
UN19wb_1105_em_952	WRONG	x ^ { 2 }	x y t
ISICal19_1210_em_872	WRONG	1 3 + \pi r ^ { 2 }	\tan x
ISICal19_1211_em_894	WRONG	\frac { 1 } { 2 }	\frac { 1 } { 5 }
UN19_1046_em_665	WRONG	2 ^ { 2 } \pi r ^ { 4 }	x ^ { 6 } - x ^ { 9 }
UN19_1028_em_393	WRONG	\frac { 1 } { \sqrt { 2 } }	\frac { m } { \sqrt { 2 } }
UN19wb_1114_em_1084	WRONG	2 + 3	a \neq 5
ISICal19_1210_em_878	WRONG	\frac { 5 } { 2 }	\pm \frac { \sqrt { 3 } } { 2 }
ISICal19_1209_em_862	WRONG	\frac { 1 } { 2 }	\frac { 1 } { n }
UN19_1026_em_372	WRONG	\int e ^ { x ^ { 2 }	k \times x
UN19_1018_em_250	WRONG	a _ { 1 } = a _ { 2 }	\cos k x
ISICal19_1211_em_888	WRONG	F _ { 1 }	t - t
UN19_1002_em_15	WRONG	x ^ { 2 } = x ^ { 2 }	x ^ { a } x ^ { b }
UN19wb_1119_em_1168	WRONG	k _ { 2 }	h h
UN19_1008_em_110	WRONG	1 0 ^ { 2 } - 1	\lim y
UN19_1029_em_417	WRONG	x = m c ^ { 2 }	x \neq a
UN19wb_1113_em_1069	WRONG	a = 0	\sigma \sigma \sigma \sigma
UN19wb_1120_em_1183	WRONG	\frac { 1 } { r ^ { 3 } }	- \frac { 1 } { \sqrt { 3 } }
ISICal19_1201_em_759	WRONG	f ^ { 3 }	\int c _ { 3 }
ISICal19_1210_em_883	WRONG	\cos ^ { 2 } ( x )	\cos ( 2 M t )
UN19wb_1107_em_982	WRONG	a _ { 1 } = a _ { 2 }	4 \sum k _ { a }
UN19_1017_em_231	WRONG	n = r \cos \theta	n \times n
UN19_1010_em_146	WRONG	f _ { f }	\int T r
UN19wb_1117_em_1138	WRONG	\frac { 1 } { 3 }	\frac { \sqrt { 5 } } { 3 }
UN19wb_1104_em_931	WRONG	u _ { 1 } = 1	b \neq a
UN19_1022_em_314	WRONG	( 0 , 0 )	( 0 0 )
ISICal19_1202_em_779	WRONG	\frac { p } { y }	\frac { 5 } { 8 }
ISICal19_1203_em_790	WRONG	x _ { 1 } = x _ { 2 } = 0	x ^ { 5 } - x ^ { 8 }
UN19wb_1108_em_995	WRONG	u _ { 1 } = x _ { 2 }	i u \sin x
UN19_1001_em_8	WRONG	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }	\frac { 2 } { 3 } k + 7
UN19wb_1111_em_1048	WRONG	x _ { 1 } = x _ { 2 }	x ^ { 5 } - x ^ { 7 }
UN19_1046_em_669	WRONG	2 ^ { 2 }	x \geq c
ISICal19_1201_em_750	WRONG	\frac { 1 } { 5 } \pi r ^ { 2 }	- \frac 1 { 1 9 2 }
UN19_1017_em_230	WRONG	t ^ { 2 }	t \times t
UN19_1015_em_207	WRONG	b ^ { 2 }	b \neq c
UN19_1011_em_150	WRONG	x _ { 1 } = x _ { 2 } = x _ { 3 }	x \rightarrow a x + b
UN19wb_1103_em_928	WRONG	x _ { 1 } , x _ { 2 }	x d x
UN19_1026_em_367	WRONG	3 0 \times 2 9 x ^ { 2 8 }	x ^ { 3 } x ^ { 4 } x ^ { 5 }
UN19_1001_em_1	WRONG	( x _ { n } , \ldots , y _ { n } )	\sin ( \pi j )
ISICal19_1201_em_760	WRONG	\frac { \cdots + \gamma } { n }	\frac { 1 } { \sqrt { 6 } }
UN19wb_1105_em_950	WRONG	( a ) ^ { ( n ) } )	\cos ( v )
UN19_1001_em_5	WRONG	\frac { d } { g }	m \int d t
UN19_1008_em_116	WRONG	x _ { 1 } = x _ { 2 }	x y = y x
ISICal19_1204_em_799	WRONG	2 ^ { 2 }	3 \times n
ISICal19_1206_em_835	WRONG	y _ { 1 } ( p )	4 \times 9
UN19wb_1120_em_1181	WRONG	x _ { 2 } = x _ { 2 }	x ^ { 3 } - x ^ { 7 }
UN19wb_1110_em_1029	WRONG	f ^ { f }	\int c _ { z }
UN19_1010_em_142	WRONG	u _ { 2 }	A A
ISICal19_1203_em_783	WRONG	\alpha _ { 2 }	y > x
UN19_1047_em_688	WRONG	\sqrt { l }	\sqrt { - f }
UN19wb_1109_em_1018	WRONG	x _ { 1 } = x _ { 0 }	x = y \tan \theta
UN19_1026_em_371	WRONG	n ! - 2	n + 7
UN19_1022_em_309	WRONG	\cos ( 0 )	\cos ( X )
UN19_1003_em_32	WRONG	\frac { a } { c }	\frac { c } { u }
UN19wb_1108_em_1000	WRONG	\sqrt { n - 1 }	\pm \sqrt { p }
UN19wb_1120_em_1177	WRONG	\int e ^ { x ^ { 2 }	\int d ^ { 3 } y
ISICal19_1203_em_791	WRONG	a ^ { 2 } + b ^ { 2 } = c ^ { 2 }	\sin k _ { n } x ^ { 5 }
UN19_1011_em_161	WRONG	z = \frac { 2 } { 2 }	\frac { 2 7 } { 7 }
UN19_1050_em_727	WRONG	1 + 1	t + \pi
UN19wb_1116_em_1114	WRONG	X _ { y } ( y )	Y \times Y
UN19wb_1109_em_1015	WRONG	\sqrt { v }	\sqrt { - t }
UN19wb_1111_em_1040	WRONG	\frac { \pi r ^ { 2 } h } { 2 }	\pm \frac { 1 } { \sqrt { 1 3 2 } }
UN19wb_1108_em_994	WRONG	f ^ { f }	- \int b B
UN19_1023_em_326	WRONG	3 . 3	n \times 3
UN19wb_1120_em_1176	WRONG	z = \sqrt { 2 }	z \rightarrow \sqrt { z }
UN19wb_1104_em_943	WRONG	\frac { 1 } { 2 }	\frac { 1 } { \sqrt { 2 } }
