Test Year: 2016
Total: 1147, Correct: 328, ExpRate: 28.60%
----------------------------------------
Image	Status	Prediction	GroundTruth
UN_123_em_496	WRONG	\sum h \}	\{ h \}
UN_454_em_695	CORRECT	3 . 8	3 . 8
UN_116_em_331	WRONG	[ u ]	\{ a \}
UN_465_em_965	CORRECT	F . G	F . G
UN_125_em_558	WRONG	\int _ { 0 }	\int L _ { 0 }
UN_454_em_693	CORRECT	\int \sqrt { g }	\int \sqrt { g }
UN_109_em_222	WRONG	B 1	B . 1
UN_451_em_617	WRONG	v . n	N . n
UN_108_em_199	WRONG	T \sqrt { 3 }	+ \sqrt { 3 }
UN_103_em_72	CORRECT	C ^ { 2 }	C ^ { 2 }
UN_102_em_49	WRONG	s ^ { 3 }	S ^ { 3 }
UN_465_em_969	WRONG	7 X 7	7 { \times } 7
UN_131_em_1083	CORRECT	[ e ]	[ e ]
UN_451_em_612	WRONG	T _ { o }	T _ { 0 }
UN_463_em_917	WRONG	\int \sqrt { \mu }	\int \sqrt { V }
UN_459_em_812	CORRECT	\int d y	\int d y
UN_458_em_776	WRONG	T c	T _ { c }
UN_119_em_414	CORRECT	M _ { 3 }	M _ { 3 }
UN_456_em_741	WRONG	- S 9 9	- 9 9 9
UN_133_em_1133	CORRECT	A . A	A . A
UN_452_em_639	WRONG	F ^ { n }	T ^ { n }
UN_457_em_758	CORRECT	\sqrt { - g }	\sqrt { - g }
UN_451_em_621	CORRECT	V _ { p }	V _ { p }
UN_456_em_738	CORRECT	8 + 8	8 + 8
UN_109_em_211	CORRECT	w _ { 3 }	w _ { 3 }
UN_129_em_1045	CORRECT	V . C	V . C
UN_130_em_1073	WRONG	p _ { m }	P _ { m }
UN_133_em_1128	WRONG	3 1 . 3	3 . 1 . 3
UN_130_em_1050	CORRECT	\sqrt { - h }	\sqrt { - h }
UN_128_em_1013	CORRECT	- 9 \sqrt { 7 }	- 9 \sqrt { 7 }
UN_122_em_479	WRONG	S ^ { n }	S ^ { m }
UN_453_em_665	CORRECT	\frac { 5 } { 8 }	\frac { 5 } { 8 }
UN_131_em_1080	WRONG	- 9 g	- 9 9
UN_460_em_847	CORRECT	9 \times 9	9 \times 9
UN_458_em_784	CORRECT	9 + 9	9 + 9
UN_451_em_610	CORRECT	M _ { 5 }	M _ { 5 }
UN_464_em_944	CORRECT	- \sqrt { 3 }	- \sqrt { 3 }
UN_462_em_899	WRONG	\int ^ { d z }	\int d z
UN_453_em_650	WRONG	1 + 3	1 \div 3
UN_466_em_998	WRONG	E \sqrt { E }	\pm \sqrt { u }
UN_457_em_767	WRONG	- \log 2	- \log { 2 }
UN_108_em_188	WRONG	1 7 7 !	0 . 7 7 7 1
UN_124_em_525	WRONG	\{ \infty ]	\{ \infty \}
UN_130_em_1071	WRONG	\frac { g } { 0 }	\frac { 9 } { 8 }
UN_452_em_643	WRONG	h _ { y }	h _ { y y }
UN_111_em_253	WRONG	\int C _ { o }	\int C _ { 6 }
UN_455_em_702	CORRECT	\int d k	\int d k
UN_103_em_69	WRONG	\int d \pi	\int d E
UN_123_em_509	WRONG	\frac { k } { g }	\frac { 7 } { 9 }
UN_116_em_326	WRONG	\int \mu i	\int d 1
UN_124_em_531	CORRECT	3 . 1 4	3 . 1 4
UN_452_em_644	CORRECT	\frac { 1 } { n }	\frac { 1 } { n }
UN_119_em_405	WRONG	\int \sqrt { 8 }	\int \sqrt { \gamma }
UN_462_em_878	WRONG	h x h	h \times h
UN_131_em_1089	CORRECT	\int d x	\int d x
UN_104_em_96	WRONG	- \log r	- \log E
UN_104_em_88	WRONG	\sqrt { C i }	\sqrt { c _ { i } }
UN_123_em_510	WRONG	\int x _ { 8 }	\int X _ { 8 }
UN_114_em_303	WRONG	\int c _ { y }	\int C _ { 4 }
UN_457_em_757	WRONG	\int c c	\int C C
UN_120_em_419	WRONG	c \log l	l \log l
UN_129_em_1042	CORRECT	a \neq e	a \neq e
UN_121_em_467	WRONG	0 + 4	0 \div 4
UN_133_em_1116	CORRECT	\pm \sqrt { 3 }	\pm \sqrt { 3 }
